78	146
21	120
29	275
50	27
35	61
78	71
60	67
8	54
21	53
78	36
40	47
12	20
477	
68	
14	
41	
19	
55	
6	
21	
14	
41	
19	
55	
6	
21	
54	
53	
54	
53	
67	
36	
67	
36	
67	
36	
67	
36	
67	
36	
67	
36	
66	
40	
66	
40	
157	
68	
89	
71	
89	
71	
254	
113	
33	
27	
28	
27	
28	
35	
42	
35	
42	
35	
42	
35	
42	
35	
42	
35	
42	
71	
61	
82	
84	
78	
21	
29	
50	
35	
78	
60	
8	
21	
21	
29	
50	
35	
78	
60	
8	
21	
78	
21	
29	
50	
35	
78	
60	
8	
21	
32	
26	
30	
35	
78	
60	
8	
21	
27	
23	
32	
71	
38	
38	
38	
219	
15	
15	
55	
22	
57	
22	
9	
9	
34	
78	
21	
29	
50	
35	
78	
60	
8	
21	
