14	163
41	558
19	91
55	180
6	10
21	218
54	90
53	40
54	39
53	71
67	45
36	9
67	21
36	40
67	45
36	9
67	
36	
67	
36	
67	
36	
66	
40	
66	
40	
157	
68	
89	
71	
89	
71	
254	
113	
33	
27	
28	
27	
28	
35	
42	
35	
42	
35	
42	
35	
42	
35	
42	
35	
42	
71	
61	
82	
84	
21	
26	
34	
35	
78	
60	
8	
21	
157	
136	
110	
14	
6	
21	
40	
12	
291	
43	
141	
362	
26	
30	
28	
32	
26	
39	
36	
52	
29	
39	
35	
78	
60	
8	
21	
68	
21	
26	
48	
35	
78	
60	
8	
21	
27	
23	
32	
71	
38	
38	
38	
219	
15	
15	
55	
22	
57	
22	
9	
9	
34	
21	
26	
48	
35	
78	
60	
8	
21	
91	
180	
10	
218	
90	
40	
39	
71	
21	
40	
45	
9	
